price,log_price,price_per_person,has_wireless_internet,has_heating,has_kitchen,has_essentials,has_smoke_detector,has_air_conditioning,has_tv,has_internet,has_washer,has_dryer
84.0,4.442651256490317,42.0,1,1,1,1,1,1,1,1,1,1
125.0,4.836281906951478,62.5,1,1,1,1,1,1,1,1,0,0
130.0,4.875197323201151,43.333333333333336,1,1,1,1,0,0,0,0,1,1
65.0,4.189654742026425,65.0,1,1,1,0,0,0,1,1,1,1
86.0,4.465908118654584,43.0,1,1,1,1,1,1,1,1,0,0
75.0,4.330733340286331,18.75,1,1,1,1,0,0,0,1,1,1
255.0,5.545177444479562,42.5,1,1,1,1,1,1,0,0,1,1
145.0,4.983606621708336,48.333333333333336,1,1,1,1,1,1,1,1,0,0
199.0,5.298317366548036,39.8,1,1,1,1,1,1,1,1,1,1
91.0,4.5217885770490405,45.5,1,1,1,0,1,1,0,1,0,0
81.0,4.406719247264253,40.5,1,1,1,1,1,0,1,1,1,1
60.0,4.110873864173311,30.0,1,1,1,1,1,1,1,1,1,1
99.0,4.605170185988092,33.0,1,1,1,1,1,1,1,1,1,1
